RA	Gabarito	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
20583564	A	9	30	4	40	13	32,5	21	10
20788083	E	6	20	8	80	14	35	20	11
20404332	B	17	56,67	2	20	19	47,5	15	4
20755671	F	8	26,67	10	100	18	45	16	2
20582645	B	12	40	3	30	15	37,5	19	9
20885720	B	11	36,67	7	70	18	45	16	4
20694781	A	13	43,33	6	60	19	47,5	15	5
20351520	B	10	33,33	9	90	19	47,5	15	4
20690198	A	10	33,33	3	30	13	32,5	21	14
20477418	C	12	40	8	80	20	50	14	5
20645029	B	9	30	7	70	16	40	18	11
20351836	C	12	40	5	50	17	42,5	17	5
20283054	A	13	43,33	7	70	20	50	14	6
20589132	E	10	33,33	4	40	14	35	20	4
20657496	A	14	46,67	6	60	20	50	14	4
20306338	C	15	50	7	70	22	55	12	3
20555078	B	14	46,67	8	80	22	55	12	3
20871714	E	13	43,33	7	70	20	50	14	5
20485676	A	23	76,67	9	90	32	80	4	1
20352167	D	9	30	5	50	14	35	20	5
20593506	A	10	33,33	5	50	15	37,5	19	4
20675463	C	6	20	5	50	11	27,5	23	16
20872960	F	14	46,67	8	80	22	55	12	2
20325777	C	8	26,67	7	70	15	37,5	19	10
20622954	B	11	36,67	8	80	19	47,5	15	5
20740821	D	9	30	6	60	15	37,5	19	4
20761390	F	5	16,67	7	70	12	30	22	13
20760846	E	8	26,67	6	60	14	35	20	11
20752971	C	9	30	6	60	15	37,5	19	9
20744029	A	12	40	6	60	18	45	16	6
20826888	A	11	36,67	6	60	17	42,5	17	7
20575540	A	12	40	7	70	19	47,5	15	5
20866183	C	11	36,67	5	50	16	40	18	3
20379782	A	9	30	5	50	14	35	20	9
20726379	A	15	50	7	70	22	55	12	3
20551765	B	14	46,67	9	90	23	57,5	11	3
20912838	C	11	36,67	5	50	16	40	18	3
20730276	C	14	46,67	7	70	21	52,5	13	6
20648159	C	12	40	6	60	18	45	16	9
20720524	A	9	30	7	70	16	40	18	8
20741366	B	8	26,67	3	30	11	27,5	23	11
20905364	C	10	33,33	6	60	16	40	18	3
20903436	F	9	30	4	40	13	32,5	21	12
20402952	A	14	46,67	6	60	20	50	14	3
20412899	C	14	46,67	6	60	20	50	14	4
20728188	C	14	46,67	7	70	21	52,5	13	6
20371677	C	8	26,67	5	50	13	32,5	21	13
20436987	E	11	36,67	7	70	18	45	16	2
20551442	B	11	36,67	6	60	17	42,5	17	10
20553630	B	17	56,67	8	80	25	62,5	9	2
20906283	A	11	36,67	8	80	19	47,5	15	1
20916368	A	7	23,33	5	50	12	30	22	11
20766352	C	7	23,33	8	80	15	37,5	19	7
20752309	B	12	40	8	80	20	50	14	1
20856037	B	7	23,33	6	60	13	32,5	21	6
20761070	C	9	30	5	50	14	35	20	13
20752331	B	8	26,67	7	70	15	37,5	19	4
20675223	A	16	53,33	6	60	22	55	12	5
20699796	E	9	30	3	30	12	30	22	7
20647136	C	7	23,33	7	70	14	35	20	13
20714785	B	8	26,67	6	60	14	35	20	13
20872814	C	10	33,33	9	90	19	47,5	15	5
20333467	A	9	30	5	50	14	35	20	11
5192008	C	14	46,67	6	60	20	50	14	5
20868392	B	14	46,67	9	90	23	57,5	11	1
20569500	E	10	33,33	3	30	13	32,5	21	6
20679850	B	7	23,33	4	40	11	27,5	23	11
20753127	B	14	40	6	60	18	45	16	7
20415592	C	16	53,33	6	60	22	55	12	5
20897970	F	13	43,33	4	40	17	42,5	17	5
20874170	F	10	33,33	6	60	16	40	18	6
20891341	A	11	36,67	4	40	15	37,5	19	4
20718683	D	11	36,67	4	40	15	37,5	19	8
20524202	E	8	26,67	6	60	14	35	20	5
20913003	F	7	23,33	8	80	15	37,5	19	7
20749930	C	12	40	7	70	19	47,5	15	8
20717068	B	17	56,67	7	70	24	60	10	3
20072426	C	12	40	7	70	19	47,5	15	5
20667684	A	14	46,67	3	30	17	42,5	17	7
20560403	D	14	46,67	7	70	21	52,5	13	1
20617664	C	11	36,67	5	50	16	40	18	8
20615248	C	10	33,33	4	40	14	35	20	12
20754672	C	12	40	7	70	19	47,5	15	5
20850474	D	8	26,67	4	40	12	30	22	13
20600208	A	13	43,33	4	40	17	42,5	17	10
20612310	B	14	46,67	8	80	22	55	12	2
20149400	C	14	26,67	7	70	15	37,5	19	11
20417059	A	18	60	7	70	25	62,5	9	2
20758621	D	14	46,67	5	50	19	47,5	15	6
20564624	C	9	30	6	60	15	37,5	19	12
20721444	A	15	50	7	70	22	55	12	3
20746753	B	9	30	7	70	16	40	18	11
20584185	A	14	46,67	7	70	21	52,5	13	5
20758902	E	8	26,67	6	60	14	35	20	11
20551113	B	11	36,67	6	60	17	42,5	17	7
20885229	F	9	30	6	60	15	37,5	19	10
20551365	A	16	53,33	5	50	21	52,5	13	2
20593513	C	10	33,33	4	40	14	35	20	8
20912563	D	9	30	4	40	13	32,5	21	8
20404293	B	18	60	5	50	23	57,5	11	4
20574064	C	16	53,33	5	50	21	52,5	13	5
20108187	B	11	36,67	7	70	18	45	16	6
20738117	D	13	43,33	6	60	19	47,5	15	1
20754936	C	13	43,33	8	80	21	52,5	13	3
20875703	B	13	43,33	5	50	18	45	16	6
20902917	F	8	26,67	7	70	15	37,5	19	7
20731964	C	10	33,33	2	20	12	30	22	15
20532195	B	8	26,67	3	30	11	27,5	23	11
20779660	C	12	40	6	60	18	45	16	6
20517534	C	13	43,33	7	70	20	50	14	4
20643477	F	10	33,33	8	80	18	45	16	5
20867554	E	13	43,33	3	30	16	40	18	9
20677729	B	11	36,67	6	60	17	42,5	17	10
20910414	B	11	36,67	7	70	18	45	16	2
20767223	C	8	26,67	5	50	13	32,5	21	6
20311644	C	11	36,67	6	60	17	42,5	17	7
20763799	D	6	20	4	40	10	25	24	15
20848121	E	10	33,33	3	30	13	32,5	21	12
20545413	A	17	56,67	6	60	23	57,5	11	4
20750429	D	12	40	5	50	17	42,5	17	3
20699695	D	15	50	6	60	21	52,5	13	3
20662992	B	13	43,33	2	20	15	37,5	19	9
20682104	B	7	23,33	7	70	14	35	20	10
20887408	A	10	33,33	6	60	16	40	18	8
20441043	F	12	40	4	40	16	40	18	3
20853967	F	5	16,67	4	40	9	22,5	1	1
20640530	C	9	30	2	20	11	27,5	23	11
20056604	A	9	30	4	40	13	32,5	21	12
20900250	E	6	20	1	10	7	17,5	3	3
20898284	B	10	33,33	6	60	16	40	18	3
20746724	E	9	30	4	40	13	32,5	21	12
20359448	A	14	46,67	6	60	20	50	14	3
20913405	F	9	30	8	80	17	42,5	17	5
20687136	C	8	26,67	6	60	14	35	20	9
20887766	A	12	40	6	60	18	45	16	4
20471100	F	5	16,67	4	40	9	22,5	1	1
20646005	D	14	46,67	5	50	19	47,5	15	4
20642232	C	9	30	5	50	14	35	20	13
20257451	B	15	50	6	60	21	52,5	13	4
20331497	B	17	56,67	7	70	24	60	10	2
20668141	F	8	26,67	2	20	10	25	24	15
20805744	E	9	30	7	70	16	40	18	9
